start

finished
Kernel IP routing table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
1.0.0.0         10.0.0.1        255.0.0.0       UG    0      0        0 eth0
1.1.1.1         *               255.255.255.255 UH    0      0        0 tun0
2.0.0.0         10.0.0.1        255.0.0.0       UG    0      0        0 eth0
3.0.0.0         10.0.0.1        255.0.0.0       UG    0      0        0 eth0
4.0.0.0         10.0.0.1        255.0.0.0       UG    0      0        0 eth0
5.0.0.0         10.0.0.1        255.0.0.0       UG    0      0        0 eth0
6.0.0.0         10.0.0.1        255.0.0.0       UG    0      0        0 eth0
7.0.0.0         10.0.0.1        255.0.0.0       UG    0      0        0 eth0
8.0.0.0         10.0.0.1        255.0.0.0       UG    0      0        0 eth0
9.0.0.0         10.0.0.1        255.0.0.0       UG    0      0        0 eth0
10.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
10.0.0.1        *               255.255.255.255 UH    0      0        0 eth0
11.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
12.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
13.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
14.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
15.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
16.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
17.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
18.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
19.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
20.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
21.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
22.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
23.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
24.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
25.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
26.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
27.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
28.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
29.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
30.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
31.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
32.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
33.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
34.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
35.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
36.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
37.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
38.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
39.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
40.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
41.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
42.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
43.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
44.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
45.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
46.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
47.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
48.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
49.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
50.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
51.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
52.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
53.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
54.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
55.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
56.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
57.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
58.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
59.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
60.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
61.0.0.0        10.0.0.1        255.0.0.0       UG    0      0        0 eth0
